CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,Direction,Output
-72,-74,-60,-88,-73,-88,-70,-91,North,c19
-67,-72,-62,-89,-71,-100,-81,-90,North,c19
-72,-74,-62,-100,-71,-100,-70,-100,North,c19
-73,-74,-60,-100,-69,-85,-70,-90,North,c19
-70,-73,-61,-100,-72,-85,-68,-90,North,c19
-73,-74,-61,-100,-72,-85,-68,-89,North,c19
-73,-73,-62,-100,-72,-86,-70,-90,North,c19
-73,-74,-61,-90,-72,-88,-70,-91,North,c19
-73,-72,-61,-100,-73,-100,-70,-89,North,c19
-72,-74,-62,-100,-72,-85,-70,-91,North,c19
-72,-74,-62,-95,-71,-86,-71,-89,North,c19
-71,-74,-60,-89,-72,-85,-71,-100,North,c19
-73,-75,-60,-100,-71,-87,-71,-90,North,c19
-74,-76,-63,-100,-73,-86,-72,-92,North,c19
-73,-75,-63,-100,-73,-88,-72,-90,North,c19
-74,-76,-63,-100,-73,-87,-72,-91,North,c19
-72,-74,-61,-100,-71,-85,-70,-91,North,c19
-73,-76,-63,-100,-73,-87,-73,-91,North,c19
-72,-73,-62,-100,-71,-86,-71,-89,North,c19
-72,-74,-61,-92,-71,-86,-71,-90,North,c19
-73,-74,-64,-92,-69,-87,-71,-91,North,c19
-72,-74,-61,-91,-71,-87,-71,-100,North,c19
-74,-75,-60,-91,-72,-87,-71,-88,North,c19
-73,-74,-62,-89,-71,-86,-70,-91,North,c19
-73,-75,-63,-91,-72,-87,-71,-100,North,c19
-73,-75,-61,-100,-71,-87,-70,-92,North,c19
-74,-74,-62,-100,-69,-100,-71,-89,North,c19
-73,-75,-61,-100,-72,-86,-72,-90,North,c19
-72,-75,-62,-92,-73,-87,-72,-91,North,c19
-73,-75,-62,-93,-72,-86,-70,-89,North,c19
-73,-74,-62,-90,-71,-87,-71,-90,North,c19
-73,-74,-61,-100,-72,-89,-71,-87,North,c19
-73,-75,-62,-90,-68,-86,-71,-90,North,c19
-73,-75,-61,-92,-72,-87,-71,-89,North,c19
-73,-74,-62,-89,-73,-86,-71,-89,North,c19
-74,-73,-62,-90,-72,-87,-71,-90,North,c19
-72,-75,-62,-93,-72,-86,-70,-89,North,c19
-72,-75,-61,-100,-69,-86,-68,-100,North,c19
-72,-75,-61,-93,-72,-86,-71,-90,North,c19
-100,-74,-61,-100,-71,-86,-70,-100,North,c19
-72,-75,-61,-100,-71,-87,-71,-100,North,c19
-72,-74,-63,-92,-71,-88,-69,-88,North,c19
-73,-75,-61,-93,-71,-87,-72,-89,North,c19
-73,-75,-63,-91,-71,-88,-71,-89,North,c19
-71,-75,-62,-93,-72,-100,-71,-91,North,c19
-73,-74,-62,-100,-71,-87,-71,-100,North,c19
-73,-74,-62,-90,-71,-86,-69,-88,North,c19
-73,-73,-61,-89,-72,-86,-71,-89,North,c19
-74,-75,-63,-90,-69,-85,-71,-89,North,c19
-71,-72,-61,-90,-72,-85,-70,-90,North,c19
-51,-72,-65,-86,-70,-88,-80,-80,North,E19
-53,-71,-65,-84,-70,-89,-82,-81,North,E19
-53,-71,-65,-85,-71,-92,-82,-75,North,E19
-52,-71,-64,-86,-70,-88,-81,-80,North,E19
-51,-72,-65,-86,-69,-89,-81,-81,North,E19
-53,-72,-63,-84,-71,-91,-80,-88,North,E19
-53,-72,-65,-83,-71,-89,-80,-80,North,E19
-53,-72,-63,-85,-69,-89,-80,-80,North,E19
-53,-72,-65,-86,-70,-89,-78,-80,North,E19
-53,-72,-64,-87,-71,-90,-78,-81,North,E19
-52,-72,-64,-84,-71,-88,-79,-81,North,E19
-54,-72,-64,-84,-71,-89,-79,-80,North,E19
-53,-70,-64,-82,-71,-91,-80,-79,North,E19
-53,-72,-66,-87,-70,-87,-81,-80,North,E19
-54,-72,-65,-88,-70,-88,-80,-80,North,E19
-54,-73,-66,-85,-70,-100,-100,-80,North,E19
-52,-72,-66,-85,-70,-89,-77,-77,North,E19
-52,-71,-63,-82,-70,-89,-80,-79,North,E19
-53,-75,-64,-85,-72,-90,-79,-84,North,E19
-53,-72,-65,-85,-68,-88,-79,-80,North,E19
-53,-72,-65,-87,-71,-88,-80,-80,North,E19
-53,-72,-64,-85,-71,-89,-79,-79,North,E19
-53,-71,-64,-84,-70,-91,-80,-80,North,E19
-52,-69,-65,-100,-70,-88,-79,-80,North,E19
